run:repetition:Module:avgResponseTime
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[0].appl:0.149400458462
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[1].appl:0.149088462723
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[2].appl:0.149094086411
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[3].appl:0.150890803822
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[4].appl:0.153494332043
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[5].appl:0.145804420586
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[6].appl:0.142550261561
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[7].appl:0.149989784877
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[8].appl:0.15198118913
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[9].appl:0.149515388129
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[10].appl:0.148870604605
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[11].appl:0.154560762184
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[12].appl:0.146208596839
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[13].appl:0.148840205684
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[14].appl:0.146454175801
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[15].appl:0.149512868698
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[16].appl:0.149558293707
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[17].appl:0.149599640262
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[18].appl:0.149998115077
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[19].appl:0.149347056725
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[20].appl:0.149003721728
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[21].appl:0.1518653271
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[22].appl:0.150415389066
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[23].appl:0.149394872821
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[24].appl:0.146836014996
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[25].appl:0.149398862264
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[26].appl:0.153843866595
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[27].appl:0.150723953127
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[28].appl:0.15079186383
"Default-0-20210718-14:49:04-12792":0:SolutionNetwork.node[29].appl:0.15064739291
